Name,Director,Year,Rating,Rewatch,Tags,Watched Date
10 Cloverfield Lane,Dan Trachtenberg,2016,,,,7/22/16
12 Angry Men,Sidney Lumet,1957,,,,3/23/16
12 Years a Slave,Steve McQueen,2013,,,,5/28/15
2001: A Space Odyssey,Stanley Kubrick,1968,,,,2/25/15
21 Jump Street,"Phil Lord, Christopher Miller",2012,,,,3/21/15
22 Jump Street,"Phil Lord, Christopher Miller",2014,,,,4/11/15
8 Mile,Curtis Hanson,2002,,,,1/9/15
A Clockwork Orange,Stanley Kubrick,1971,,,,3/6/15
A Clockwork Orange,Stanley Kubrick,1971,,Yes,,3/12/21
A Cure for Wellness,Gore Verbinski,2016,4,,,10/26/21
A Ghost Story,David Lowery,2017,4.5,,,9/20/21
A Nightmare on Elm Street,Wes Craven,1984,4,,,10/19/21
A Serious Man,"Joel Coen, Ethan Coen",2009,4,,,5/30/21
Across 110th Street,Barry Shear,1972,3,,,11/26/21
Ad Astra,James Gray,2019,2.5,,,6/4/21
Adaptation.,Spike Jonze,2002,4,,,9/17/21
After Hours,Martin Scorsese,1985,4.5,,,11/23/21
Alien,Ridley Scott,1979,,,,2/10/16
Amelie,Jean-Pierre Jeunet,2001,4,,,7/2/21
American Beauty,Sam Mendes,1999,,,,2/6/15
American History X,Tony Kaye,1998,,,,1/19/15
American Pie,"Chris Weitz, Paul Weitz",1999,,,,3/17/15
American Psycho,Mary Harron,2000,,,,2/27/15
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,,,,6/3/15
Annihilation,Alex Garland,2018,4,,,7/25/21
Another Round,Thomas Vinterberg,2020,4,,,4/20/21
Apocalypse Now,Francis Ford Coppola,1979,,,,5/12/15
Argo,Ben Affleck,2012,,,,6/9/15
Army of Darkness,Sam Raimi,1992,3,,,10/10/21
Arrival,Denis Villeneuve,2016,4,,,4/5/22
At Eternity's Gate,Julian Schnabel,2018,4,,,4/7/22
Atonement,Joe Wright,2007,3.5,,,7/24/21
Audition,Takashi Miike,1999,4,,,10/7/21
Avengers: Age of Ultron,Joss Whedon,2015,,,,5/2/15
Bacurau,"Kleber Mendonca Filho, Juliano Dornelles",2019,4.5,,,5/26/21
Barry Lyndon,Stanley Kubrick,1975,4,,,12/22/21
Barton Fink,"Joel Coen, Ethan Coen",1991,,,,4/3/16
Beautiful Boy,Felix van Groeningen,2018,,,,6/11/21
Before Sunrise,Richard Linklater,1995,,,,7/5/15
Belfast,Kenneth Branagh,2021,3,,,3/15/22
Billy Madison,Tamra Davis,1995,2.5,,,11/24/21
Birdman or (The Unexpected Virtue of Ignorance),Alejandro Gonzalez Innaritu,2014,,,,2/8/15
Black Christmas,Bob Clark,1974,3.5,,,3/31/22
Black Swan,Darren Aronofsky,2010,4,,,4/6/21
BlacKkKlansman,Spike Lee,2018,,,,4/9/21
Blade,Stephen Norrington,1998,,,,6/25/21
Blade II,Guillermo Del Toro,2002,1.5,,,8/26/21
Blade Runner,Ridley Scott,1982,,,,11/24/15
Blood Simple,"Joel Coen, Ethan Coen",1984,,,,6/14/15
Blue Collar,Paul Schrader,1978,4.5,,,9/8/21
Blue Velvet,David Lynch,1986,4,,,3/26/22
Bo Burnham: Inside,Bo Burnham,2021,4,,,6/6/21
Bo Burnham: Make Happy,"Bo Burnham, Christopher Storer",2016,4,,,9/18/21
Bone Tomahawk,S. Craig Zahler,2015,4.5,,,10/24/21
Boogie Nights,Paul Thomas Anderson,1997,,,,4/10/15
Borat Subsequent Moviefilm,Jason Woliner,2020,,,,4/14/21
Boyhood,Richard Linklater,2014,,,,2/20/15
Braindead,Peter Jackson,1992,4,,,10/6/21
Brawl in Cell Block 99,S. Craig Zahler,2017,4.5,,,11/7/21
Brazil,Terry Gilliam,1985,,,,7/15/21
Bringing Out the Dead,Martin Scorsese,1999,4,,,8/1/21
Brokeback Mountain,Ang Lee,2005,,,,7/25/15
Bronson,Nicolas Winding Refn,2008,,,,5/24/15
Burn After Reading,"Joel Coen, Ethan Coen",2008,,,,6/6/15
Burning,Lee Chang-Dong,2018,,,,3/26/21
Caddyshack,Harold Ramis,1980,,,,3/19/15
Calm with Horses,Nick Rowland,2019,2,,,1/8/22
Carol,Todd Haynes,2015,,,,8/1/16
Casino,Martin Scorsese,1995,,,,4/18/15
Casino Royale,Martin Campbell,2006,,,,1/6/15
Chasing Amy,Kevin Smith,1997,,,,4/11/15
Child's Play,Tom Holland,1988,,,,7/26/15
Chungking Express,Wong Kar Wai,1994,,,,7/21/21
Citizen Kane,Orson Welles,1941,,,,1/8/15
Citizen Kane,Orson Welles,1941,,Yes,,2/17/16
Clerks,Kevin Smith,1994,,,,3/20/15
Clerks,Kevin Smith,1994,,Yes,,4/23/21
Climax,Gaspar Noe,2018,4.5,,,9/7/21
CODA,Sian Heder,2021,4,,,8/20/21
Come and See,Elem Klimov,1985,,,,4/30/21
"Crazy, Stupid, Love.","Glenn Ficarra, John Requa",2011,,,,6/7/15
Creed,Ryan Coogler,2015,,,,12/16/15
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,,,,6/20/15
Dangerous Men,John S. Rad,2005,,,,4/27/16
Dawn of the Dead,George A. Romero,1978,4,,,10/21/21
Dazed and Confused,Richard Linklater,1993,,,,3/2/16
Deadpool,Tim Miller,2016,,,,5/8/21
Deadpool 2,David Leitch,2018,1.5,,,7/28/21
Death Proof,Quentin Tarantino,2007,,,,3/7/15
Dick Johnson Is Dead,Kirsten Johnson,2020,,,,8/18/21
Die Hard,John McTiernan,1988,,,,1/15/15
Django Unchained,Quentin Tarantino,2012,,,,1/15/15
Do the Right Thing,Spike Lee,1989,4.5,,,9/25/21
Doctor Strange,Scott Derrickson,2016,4,,,8/12/21
Dogma,Kevin Smith,1999,,,,4/24/15
Dogtooth,Yorgos Lanthimos,2009,,Yes,,3/25/21
Dogville,Lars Von Trier,2003,,,,9/21/21
Don't Look Up,Adam McKay,2021,2,,,3/22/22
Donnie Darko,Richard Kelly,2001,,,,1/5/15
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,,,,4/25/15
Dracula,Francis Ford Coppola,1992,,,,6/15/15
Drive,Nicolas Winding Refn,2011,,,,5/11/15
Drive My Car,Ryusuke Hamaguchi,2021,4.5,,,3/16/22
Drunken Master,Yuen Woo-ping,1978,4,,,3/13/22
Dune,Denis Villeneuve,2021,3.5,,,11/8/21
Easy A,Will Gluck,2010,,,,2/27/15
Edward Scissorhands,Tim Burton,1990,,,,3/14/15
Election,Alexander Payne,1999,,,,1/27/16
Emma.,Autumn de Wilde,2020,,,,7/10/21
Empire Records,Allan Moyle,1995,3.5,,,7/11/21
Enter the Dragon,Robert Clouse,1973,4,,,3/28/22
Enter the Void,Gaspar Noe,2009,,,,9/12/21
Eraserhead,David Lynch,1977,,,,4/14/21
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,,,,7/26/15
Evil Dead II,Sam Raimi,1987,4,,,10/10/21
Evolution,Ivan Reitman,2001,1.5,Yes,,9/3/21
Ex Machina,Alex Garland,2015,4.5,,,8/4/21
Fantastic Mr. Fox,Wes Anderson,2009,4.5,,,7/6/21
Fargo,"Joel Coen, Ethan Coen",1996,,,,2/13/15
Fargo,"Joel Coen, Ethan Coen",1996,4.5,Yes,,3/30/16
Fight Club,David Fincher,1999,,,,1/4/15
First Cow,Kelly Reichardt,2019,3.5,,,8/11/21
First Reformed,Paul Schrader,2017,,,,6/8/21
First Reformed,Paul Schrader,2017,5,Yes,,7/16/21
Forrest Gump,Robert Zemeckis,1994,,,,3/1/15
Foxcatcher,Bennett Miller,2014,,,,3/19/15
Full Metal Jacket,Stanley Kubrick,1987,,,,2/28/15
Funny Games,Michale Haneke,1997,4,,,10/29/21
Gangs of New York,Martin Scorsese,2002,,,,3/14/15
Gladiator,Ridley Scott,2000,,,,6/17/15
Gone Girl,David Fincher,2014,,,,1/13/15
Good Time,"Josh Safdie, Benny Safdie",2017,4.5,,,11/9/21
Good Will Hunting,Gus Van Sant,1997,,,,3/27/15
Good Will Hunting,Gus Van Sant,1997,4.5,Yes,,2/22/22
GoodFellas,Martin Scorsese,1990,,,,1/7/15
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,,,,4/20/16
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,3.5,Yes,,10/3/21
Grave of the Fireflies,Isao Takahata,1988,4.5,,,12/7/21
Groundhog Day,Harold Ramis,1993,,,,3/15/15
"Hail, Caesar!","Joel Coen, Ethan Coen",2016,,,,6/27/16
Halloween,John Carpenter,1978,4,,,10/31/21
Heat,Michael Mann,1995,,,,6/13/21
Heathers,Michael Lehmann,1989,,,,6/6/15
Heathers,Michael Lehmann,1989,,Yes,,6/9/16
Her,Spike Jonze,2013,,,,3/14/15
Hereditary,Ari Aster,2018,4.5,,,
Hereditary,Ari Aster,2018,4.5,Yes,,10/9/21
His House,Remi Weekes,2020,3,,,7/17/21
Honey Boy,Alma Har'el,2019,4,,,8/20/21
Hot Fuzz,Edgar Wright,2007,,,,6/23/21
I'm Not There,Todd Haynes,2007,3.5,,,11/22/21
I'm Thinking of Ending Things,Charlie Kaufman,2020,,,,4/7/21
Ida,Pawel Pawlikowski,2013,3.5,,,8/9/21
Independence Day,Roland Emmerich,1996,,,,1/9/15
Indiana Jones and the Last Crusade,Steven Spielberg,1989,,,,6/5/15
Indiana Jones and the Temple of Doom,Steven Spielberg,1984,,,,6/3/15
Inglourious Basterds,Quentin Tarantino,2009,,,,1/12/15
Inglourious Basterds,Quentin Tarantino,2009,4,Yes,,3/27/21
Inside I'm Dancing,Damien O'Donnell,2004,3.5,,,7/16/21
Inside Llewyn Davis,"Joel Coen, Ethan Coen",2013,,,,5/18/15
Inside Llewyn Davis,"Joel Coen, Ethan Coen",2013,4.5,Yes,,6/2/21
Interstellar,Christopher Nolan,2014,,,,5/28/15
Jackie Brown,Quentin Tarantino,1997,,,,2/13/15
Jarhead,Sam Mendes,2005,,,,3/25/15
Jay and Silent Bob Strike Back,Kevin Smith,2001,,,,5/10/15
Jennifer's Body,Karyn Kusama,2009,3.5,,,10/27/21
Jojo Rabbit,Taika Waititi,2019,4,,,9/19/21
Judas and the Black Messiah,Shaka King,2021,,,,4/1/21
Juno,Jason Reitman,2007,,,,3/6/15
Kajillionaire,Miranda July,2020,4,,,6/20/21
Kill Bill: Vol. 1,Quentin Tarantino,2003,,,,1/4/15
Kill Bill: Vol. 2,Quentin Tarantino,2004,,,,1/6/15
King Richard,Reinaldo Marcus Green,2021,3.5,,,3/10/22
Knives Out,Rian Johnson,2019,4.5,,,8/22/21
Kung Fury,David Sandberg,2015,,,,10/7/16
Kwaidan,Masaki Kobayashi,1964,,,,5/18/21
L.A. Confidential,Curtis Hanson,1997,,,,6/26/15
La Haine,Mathieu Kassovitz,1995,,,,4/17/21
Lamb,Valdimar Johannsson,2021,2,,,10/21/21
Last Night in Soho,Edgar Wright,2021,3.5,,,10/28/21
Let the Right One In,Tomas Alfredson,2008,4,,,10/14/21
Licorice Pizza,Paul Thomas Anderson,2021,4,,,2/15/22
Life of Brian,Terry Jones,1979,,,,3/17/15
Light Sleeper,Paul Schrader,1992,3.5,,,8/15/21
Lincoln,Steven Spielberg,2012,,,,3/16/15
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",2006,,,,3/16/15
Little Women,Greta Gerwig,2019,,,,6/24/21
Locke,Steven Knight,2013,,,,5/17/15
Logan,James Mangold,2017,4,,,7/11/21
Lost in Translation,Sofia Coppola,2003,2.5,,,8/28/21
Love Actually,Richard Curtis,2003,,,,7/19/15
Loving Vincent,"Dorota Kobiela, Hugh Welchman",2017,,,,4/10/21
Ma Rainey's Black Bottom,George C. Wolfe,2020,,,,4/3/21
Ma Rainey's Black Bottom,George C. Wolfe,2020,,Yes,,5/17/21
Mad Max: Fury Road,George Miller,2015,,,,6/20/15
Magnolia,Paul Thomas Anderson,1999,,,,5/22/15
Magnolia,Paul Thomas Anderson,1999,5,Yes,,7/22/21
Mandy,Panos Cosmatos,2018,3.5,,,7/8/21
